Date,NominalPrice,NetChange,Change,Bid,Ask,PEx,High,Low,PreviousClose,ShareVolume000,Turnover000,LotSize
2020-02-18,12.82,,,12.82,12.84,,13.44,12.66,13.28,281501.0,3673342.0,
2020-02-17,13.28,,,13.26,13.28,,13.34,13.0,13.1,151583.0,2008730.0,
2020-02-14,13.1,,,13.08,13.1,,13.58,13.0,13.38,213336.0,2820528.0,
